CLIENT_ID,NAME_PRODUCT_TYPE,CAR_AGE,TOTAL_INCOME,PRIORIDAD_VENTA
ES182148684G,PRODUCT 1,19.0,8640.0,1. Urgente (Chatarra)
ES182439596G,PRODUCT 1,13.0,8640.0,2. Alta (Renovación)
ES182131750Q,PRODUCT 1,18.0,8640.0,1. Urgente (Chatarra)
ES182312745F,PRODUCT 1,17.0,8640.0,1. Urgente (Chatarra)
ES182353359R,PRODUCT 2,64.0,8640.0,1. Urgente (Chatarra)
ES182147158H,PRODUCT 1,64.0,8100.0,1. Urgente (Chatarra)
ES182243054M,PRODUCT 2,15.0,8100.0,2. Alta (Renovación)
ES182382527I,PRODUCT 1,16.0,8100.0,1. Urgente (Chatarra)
ES182226596J,PRODUCT 1,25.0,8100.0,1. Urgente (Chatarra)
ES182255884L,PRODUCT 1,10.0,8100.0,2. Alta (Renovación)
ES182290520D,PRODUCT 1,19.0,8100.0,1. Urgente (Chatarra)
ES182272191Y,PRODUCT 1,15.0,8100.0,2. Alta (Renovación)
ES182253104O,PRODUCT 1,12.0,8100.0,2. Alta (Renovación)
ES182146383T,PRODUCT 1,19.0,8100.0,1. Urgente (Chatarra)
ES182391254V,PRODUCT 1,11.0,8100.0,2. Alta (Renovación)
ES182429293Z,PRODUCT 1,18.0,8100.0,1. Urgente (Chatarra)
ES182413575C,PRODUCT 1,10.0,8100.0,2. Alta (Renovación)
ES182297368E,PRODUCT 1,11.0,8100.0,2. Alta (Renovación)
ES182325292U,PRODUCT 2,13.0,8100.0,2. Alta (Renovación)
ES182128925F,PRODUCT 1,10.0,8100.0,2. Alta (Renovación)
ES182229466X,PRODUCT 1,27.0,8100.0,1. Urgente (Chatarra)
ES182159010N,PRODUCT 1,10.0,8100.0,2. Alta (Renovación)
ES182197094J,PRODUCT 1,15.0,8100.0,2. Alta (Renovación)
ES182411784A,PRODUCT 1,14.0,8100.0,2. Alta (Renovación)
ES182138737D,PRODUCT 1,14.0,8100.0,2. Alta (Renovación)
ES182289219C,PRODUCT 1,64.0,8100.0,1. Urgente (Chatarra)
ES182110434P,PRODUCT 1,15.0,8100.0,2. Alta (Renovación)
ES182380558G,PRODUCT 1,12.0,8100.0,2. Alta (Renovación)
ES182320530X,PRODUCT 1,16.0,8100.0,1. Urgente (Chatarra)
ES182285364B,PRODUCT 1,64.5,8100.0,1. Urgente (Chatarra)
ES182321954V,PRODUCT 2,23.0,8100.0,1. Urgente (Chatarra)
ES182453799G,PRODUCT 1,14.0,8100.0,2. Alta (Renovación)
ES182167094N,PRODUCT 1,14.0,8100.0,2. Alta (Renovación)
ES182247640J,PRODUCT 1,13.0,8100.0,2. Alta (Renovación)
ES182197717P,PRODUCT 1,15.0,8100.0,2. Alta (Renovación)
ES182321050U,PRODUCT 1,11.0,8100.0,2. Alta (Renovación)
ES182451658D,PRODUCT 1,14.0,8100.0,2. Alta (Renovación)
ES182308740Z,PRODUCT 1,10.0,8100.0,2. Alta (Renovación)
ES182136413B,PRODUCT 1,10.0,8100.0,2. Alta (Renovación)
ES182215269W,PRODUCT 1,12.0,8100.0,2. Alta (Renovación)
ES182339989K,PRODUCT 1,12.0,8100.0,2. Alta (Renovación)
ES182244817H,PRODUCT 1,15.0,8100.0,2. Alta (Renovación)
ES182396433N,PRODUCT 1,64.0,8100.0,1. Urgente (Chatarra)
ES182295382E,PRODUCT 1,17.0,8100.0,1. Urgente (Chatarra)
ES182221903B,PRODUCT 1,23.0,8100.0,1. Urgente (Chatarra)
ES182255202R,PRODUCT 1,18.0,8100.0,1. Urgente (Chatarra)
ES182448708I,PRODUCT 1,11.0,8100.0,2. Alta (Renovación)
ES182243020K,PRODUCT 1,21.0,8100.0,1. Urgente (Chatarra)
ES182249436M,PRODUCT 2,10.0,8100.0,2. Alta (Renovación)
ES182325085V,PRODUCT 1,16.0,8100.0,1. Urgente (Chatarra)
ES182388003C,PRODUCT 1,13.0,8100.0,2. Alta (Renovación)
ES182275033G,PRODUCT 1,15.0,7614.0,2. Alta (Renovación)
ES182240825L,PRODUCT 1,10.0,7614.0,2. Alta (Renovación)
ES182221468P,PRODUCT 1,17.0,7560.0,1. Urgente (Chatarra)
ES182175985V,PRODUCT 1,18.0,7560.0,1. Urgente (Chatarra)
ES182307136V,PRODUCT 1,11.0,7560.0,2. Alta (Renovación)
ES182452563Z,PRODUCT 1,11.0,7560.0,2. Alta (Renovación)
ES182335817N,PRODUCT 1,16.0,7560.0,1. Urgente (Chatarra)
ES182357529C,PRODUCT 1,20.0,7560.0,1. Urgente (Chatarra)
ES182361113G,PRODUCT 1,14.0,7290.0,2. Alta (Renovación)
ES182366384R,PRODUCT 1,24.0,7128.0,1. Urgente (Chatarra)
ES182165077L,PRODUCT 1,13.0,7020.0,2. Alta (Renovación)
ES182404916L,PRODUCT 1,19.0,7020.0,1. Urgente (Chatarra)
ES182371158G,PRODUCT 1,10.0,7020.0,2. Alta (Renovación)
ES182299222V,PRODUCT 1,64.5,7020.0,1. Urgente (Chatarra)
ES182284697X,PRODUCT 1,12.0,7020.0,2. Alta (Renovación)
ES182247751G,PRODUCT 2,16.0,7020.0,1. Urgente (Chatarra)
ES182413555K,PRODUCT 1,14.0,7020.0,2. Alta (Renovación)
ES182109747G,PRODUCT 1,15.0,7020.0,2. Alta (Renovación)
ES182228441J,PRODUCT 1,15.0,7020.0,2. Alta (Renovación)
ES182126531I,PRODUCT 1,12.0,7020.0,2. Alta (Renovación)
ES182135795Q,PRODUCT 1,10.0,7020.0,2. Alta (Renovación)
ES182137330Z,PRODUCT 1,16.0,6750.0,1. Urgente (Chatarra)
ES182257537C,PRODUCT 1,13.0,6750.0,2. Alta (Renovación)
ES182123749W,PRODUCT 1,11.0,6750.0,2. Alta (Renovación)
ES182203786C,PRODUCT 1,13.0,6750.0,2. Alta (Renovación)
ES182140045P,PRODUCT 1,64.0,6723.0,1. Urgente (Chatarra)
ES182446675N,PRODUCT 1,12.0,6500.52,2. Alta (Renovación)
ES182171557X,PRODUCT 2,20.0,6480.0,1. Urgente (Chatarra)
ES182114345E,PRODUCT 1,32.0,6480.0,1. Urgente (Chatarra)
ES182238466J,PRODUCT 1,14.0,6480.0,2. Alta (Renovación)
ES182433845L,PRODUCT 1,18.0,6480.0,1. Urgente (Chatarra)
ES182424445F,PRODUCT 1,18.0,6480.0,1. Urgente (Chatarra)
ES182318066I,PRODUCT 1,19.0,6480.0,1. Urgente (Chatarra)
ES182282669Z,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182165217X,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182370515V,PRODUCT 2,12.0,6480.0,2. Alta (Renovación)
ES182408202G,PRODUCT 1,14.0,6480.0,2. Alta (Renovación)
ES182451659P,PRODUCT 1,16.0,6480.0,1. Urgente (Chatarra)
ES182319408D,PRODUCT 1,16.0,6480.0,1. Urgente (Chatarra)
ES182201978K,PRODUCT 1,23.0,6480.0,1. Urgente (Chatarra)
ES182156403S,PRODUCT 1,13.0,6480.0,2. Alta (Renovación)
ES182276969D,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182332968Z,PRODUCT 1,12.0,6480.0,2. Alta (Renovación)
ES182376675K,PRODUCT 2,10.0,6480.0,2. Alta (Renovación)
ES182346815X,PRODUCT 1,17.0,6480.0,1. Urgente (Chatarra)
ES182113774M,PRODUCT 1,17.0,6480.0,1. Urgente (Chatarra)
ES182388949F,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182108781Y,PRODUCT 1,17.0,6480.0,1. Urgente (Chatarra)
ES182255769Q,PRODUCT 1,27.0,6480.0,1. Urgente (Chatarra)
ES182274968J,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182107099O,PRODUCT 1,12.0,6480.0,2. Alta (Renovación)
ES182145970V,PRODUCT 1,34.0,6480.0,1. Urgente (Chatarra)
ES182222340U,PRODUCT 1,19.0,6480.0,1. Urgente (Chatarra)
ES182313281S,PRODUCT 1,23.0,6480.0,1. Urgente (Chatarra)
ES182350633U,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182120442N,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182234304I,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182373346G,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182384711C,PRODUCT 1,17.0,6480.0,1. Urgente (Chatarra)
ES182257445C,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182291126R,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182212596D,PRODUCT 1,13.0,6480.0,2. Alta (Renovación)
ES182214040C,PRODUCT 1,24.0,6480.0,1. Urgente (Chatarra)
ES182227358J,PRODUCT 1,15.0,6480.0,2. Alta (Renovación)
ES182430616L,PRODUCT 2,10.0,6480.0,2. Alta (Renovación)
ES182204212V,PRODUCT 1,14.0,6480.0,2. Alta (Renovación)
ES182408411D,PRODUCT 2,22.0,6480.0,1. Urgente (Chatarra)
ES182140066T,PRODUCT 1,14.0,6480.0,2. Alta (Renovación)
ES182222407A,PRODUCT 1,16.0,6480.0,1. Urgente (Chatarra)
ES182183942I,PRODUCT 1,19.0,6480.0,1. Urgente (Chatarra)
ES182367284W,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182430158E,PRODUCT 1,23.0,6480.0,1. Urgente (Chatarra)
ES182307754O,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182232010S,PRODUCT 1,24.0,6480.0,1. Urgente (Chatarra)
ES182337030Y,PRODUCT 1,15.0,6480.0,2. Alta (Renovación)
ES182100810F,PRODUCT 2,13.0,6480.0,2. Alta (Renovación)
ES182446646K,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182266920O,PRODUCT 1,19.0,6480.0,1. Urgente (Chatarra)
ES182396124G,PRODUCT 1,11.0,6480.0,2. Alta (Renovación)
ES182178635O,PRODUCT 1,14.0,6480.0,2. Alta (Renovación)
ES182416663X,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182423460O,PRODUCT 1,25.0,6480.0,1. Urgente (Chatarra)
ES182133411I,PRODUCT 1,16.0,6480.0,1. Urgente (Chatarra)
ES182292466I,PRODUCT 1,10.0,6480.0,2. Alta (Renovación)
ES182255092W,PRODUCT 1,17.0,6480.0,1. Urgente (Chatarra)
ES182225253M,PRODUCT 1,13.0,6480.0,2. Alta (Renovación)
ES182419016V,PRODUCT 2,10.0,6480.0,2. Alta (Renovación)
ES182227021Q,PRODUCT 1,12.0,6480.0,2. Alta (Renovación)
ES182418280O,PRODUCT 1,64.0,6480.0,1. Urgente (Chatarra)
ES182336087Q,PRODUCT 1,11.0,6372.0,2. Alta (Renovación)
ES182134049Y,PRODUCT 1,11.0,6264.0,2. Alta (Renovación)
ES182214612C,PRODUCT 1,10.0,6210.0,2. Alta (Renovación)
ES182441005V,PRODUCT 1,13.0,6210.0,2. Alta (Renovación)
ES182147984O,PRODUCT 1,10.0,6210.0,2. Alta (Renovación)
ES182334380O,PRODUCT 1,17.0,6210.0,1. Urgente (Chatarra)
ES182114443Q,PRODUCT 1,14.0,6102.0,2. Alta (Renovación)
ES182216841O,PRODUCT 1,17.0,5994.0,1. Urgente (Chatarra)
ES182291682J,PRODUCT 1,14.0,5940.0,2. Alta (Renovación)
ES182400142X,PRODUCT 1,19.0,5940.0,1. Urgente (Chatarra)
ES182118049R,PRODUCT 1,13.0,5940.0,2. Alta (Renovación)
ES182278308J,PRODUCT 1,18.0,5940.0,1. Urgente (Chatarra)
ES182177792M,PRODUCT 2,12.0,5940.0,2. Alta (Renovación)
ES182343386L,PRODUCT 1,15.0,5940.0,2. Alta (Renovación)
ES182305545P,PRODUCT 1,18.0,5940.0,1. Urgente (Chatarra)
ES182439034D,PRODUCT 1,64.0,5940.0,1. Urgente (Chatarra)
ES182214290H,PRODUCT 1,14.0,5940.0,2. Alta (Renovación)
ES182410885Z,PRODUCT 1,23.0,5940.0,1. Urgente (Chatarra)
ES182396469L,PRODUCT 1,64.0,5940.0,1. Urgente (Chatarra)
ES182140405L,PRODUCT 1,11.0,5940.0,2. Alta (Renovación)
ES182397264G,PRODUCT 1,25.0,5940.0,1. Urgente (Chatarra)
ES182337828I,PRODUCT 1,15.0,5940.0,2. Alta (Renovación)
ES182196586F,PRODUCT 1,11.0,5940.0,2. Alta (Renovación)
ES182398304Z,PRODUCT 1,39.0,5940.0,1. Urgente (Chatarra)
ES182295426O,PRODUCT 1,16.0,5940.0,1. Urgente (Chatarra)
ES182162194P,PRODUCT 1,10.0,5940.0,2. Alta (Renovación)
ES182294747J,PRODUCT 1,24.0,5940.0,1. Urgente (Chatarra)
ES182276736B,PRODUCT 1,10.0,5940.0,2. Alta (Renovación)
ES182180667Y,PRODUCT 1,16.0,5940.0,1. Urgente (Chatarra)
ES182123241Z,PRODUCT 1,17.0,5940.0,1. Urgente (Chatarra)
ES182207715H,PRODUCT 1,11.0,5940.0,2. Alta (Renovación)
ES182395352P,PRODUCT 1,22.0,5832.0,1. Urgente (Chatarra)
ES182339575N,PRODUCT 1,10.0,5778.0,2. Alta (Renovación)
ES182143474I,PRODUCT 1,11.0,5778.0,2. Alta (Renovación)
ES182167558K,PRODUCT 1,12.0,5670.0,2. Alta (Renovación)
ES182434998E,PRODUCT 1,11.0,5670.0,2. Alta (Renovación)
ES182341295L,PRODUCT 1,10.0,5670.0,2. Alta (Renovación)
ES182350828Z,PRODUCT 1,17.0,5670.0,1. Urgente (Chatarra)
ES182396072I,PRODUCT 1,13.0,5670.0,2. Alta (Renovación)
ES182346339M,PRODUCT 1,15.0,5670.0,2. Alta (Renovación)
ES182183968C,PRODUCT 1,21.0,5670.0,1. Urgente (Chatarra)
ES182318004Z,PRODUCT 1,15.0,5670.0,2. Alta (Renovación)
ES182414286D,PRODUCT 1,14.0,5508.0,2. Alta (Renovación)
ES182115799V,PRODUCT 1,14.0,5454.0,2. Alta (Renovación)
ES182200251J,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182146062I,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182213005R,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182213502T,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182203777N,PRODUCT 2,16.0,5400.0,1. Urgente (Chatarra)
ES182225155V,PRODUCT 1,20.0,5400.0,1. Urgente (Chatarra)
ES182329671T,PRODUCT 1,19.0,5400.0,1. Urgente (Chatarra)
ES182398281D,PRODUCT 1,16.0,5400.0,1. Urgente (Chatarra)
ES182189767C,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182371778H,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182222448X,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182173796Y,PRODUCT 1,22.0,5400.0,1. Urgente (Chatarra)
ES182266755E,PRODUCT 1,17.0,5400.0,1. Urgente (Chatarra)
ES182135473O,PRODUCT 1,20.0,5400.0,1. Urgente (Chatarra)
ES182279921Y,PRODUCT 1,25.0,5400.0,1. Urgente (Chatarra)
ES182327398V,PRODUCT 2,16.0,5400.0,1. Urgente (Chatarra)
ES182256917Z,PRODUCT 1,24.0,5400.0,1. Urgente (Chatarra)
ES182207525Y,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182225014A,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182208072U,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182362571V,PRODUCT 1,20.0,5400.0,1. Urgente (Chatarra)
ES182245838H,PRODUCT 1,23.0,5400.0,1. Urgente (Chatarra)
ES182259368Q,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182184465M,PRODUCT 1,20.0,5400.0,1. Urgente (Chatarra)
ES182402843W,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182255467V,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182141424Z,PRODUCT 1,25.0,5400.0,1. Urgente (Chatarra)
ES182455991K,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182255198A,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182140627U,PRODUCT 1,18.0,5400.0,1. Urgente (Chatarra)
ES182284345V,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182240384K,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182387089E,PRODUCT 1,33.0,5400.0,1. Urgente (Chatarra)
ES182395996X,PRODUCT 1,25.0,5400.0,1. Urgente (Chatarra)
ES182429872I,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182411695A,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182351808S,PRODUCT 1,21.0,5400.0,1. Urgente (Chatarra)
ES182178968O,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182445665Y,PRODUCT 1,21.0,5400.0,1. Urgente (Chatarra)
ES182261679T,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182197550I,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182287256S,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182376403P,PRODUCT 1,16.0,5400.0,1. Urgente (Chatarra)
ES182406775G,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182178905U,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182241787T,PRODUCT 1,16.0,5400.0,1. Urgente (Chatarra)
ES182368189W,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182134113A,PRODUCT 1,24.0,5400.0,1. Urgente (Chatarra)
ES182353633P,PRODUCT 1,18.0,5400.0,1. Urgente (Chatarra)
ES182395138W,PRODUCT 1,21.0,5400.0,1. Urgente (Chatarra)
ES182369868G,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182185766Q,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182335189R,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182212299Q,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182211280N,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182146925B,PRODUCT 1,16.0,5400.0,1. Urgente (Chatarra)
ES182448990F,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182436898H,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182108755F,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182127505C,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182373881C,PRODUCT 2,13.0,5400.0,2. Alta (Renovación)
ES182343216I,PRODUCT 2,14.0,5400.0,2. Alta (Renovación)
ES182348301B,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182331356O,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182168958K,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182324330F,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182314633U,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182209290V,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182206306P,PRODUCT 1,20.0,5400.0,1. Urgente (Chatarra)
ES182124186F,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182375357P,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182427100D,PRODUCT 1,16.0,5400.0,1. Urgente (Chatarra)
ES182217092D,PRODUCT 1,22.0,5400.0,1. Urgente (Chatarra)
ES182338233H,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182284452L,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182159088I,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182261803G,PRODUCT 2,11.0,5400.0,2. Alta (Renovación)
ES182346718D,PRODUCT 1,21.0,5400.0,1. Urgente (Chatarra)
ES182179120O,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182335902A,PRODUCT 1,19.0,5400.0,1. Urgente (Chatarra)
ES182427194A,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182281006B,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182442784L,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182259346P,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182227929V,PRODUCT 2,12.0,5400.0,2. Alta (Renovación)
ES182215379R,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182118941P,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182432110J,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182346241K,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182230011D,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182447572A,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182316621Y,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182443323D,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182250004S,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182174042N,PRODUCT 1,16.0,5400.0,1. Urgente (Chatarra)
ES182333770P,PRODUCT 2,10.0,5400.0,2. Alta (Renovación)
ES182121369N,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182401234S,PRODUCT 1,17.0,5400.0,1. Urgente (Chatarra)
ES182257400O,PRODUCT 1,64.5,5400.0,1. Urgente (Chatarra)
ES182185596C,PRODUCT 1,23.0,5400.0,1. Urgente (Chatarra)
ES182427614R,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182328840T,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182145581A,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182456190S,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182335279Z,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182221621T,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182237231B,PRODUCT 2,12.0,5400.0,2. Alta (Renovación)
ES182379093H,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182426182I,PRODUCT 1,22.0,5400.0,1. Urgente (Chatarra)
ES182434666O,PRODUCT 2,10.0,5400.0,2. Alta (Renovación)
ES182415896E,PRODUCT 2,11.0,5400.0,2. Alta (Renovación)
ES182231372V,PRODUCT 1,23.0,5400.0,1. Urgente (Chatarra)
ES182418397M,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182429966P,PRODUCT 1,37.0,5400.0,1. Urgente (Chatarra)
ES182100474G,PRODUCT 2,15.0,5400.0,2. Alta (Renovación)
ES182137926H,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182373281P,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182225502E,PRODUCT 2,64.0,5400.0,1. Urgente (Chatarra)
ES182420760N,PRODUCT 1,64.0,5400.0,1. Urgente (Chatarra)
ES182385001N,PRODUCT 1,18.0,5400.0,1. Urgente (Chatarra)
ES182338220W,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182186044T,PRODUCT 2,10.0,5400.0,2. Alta (Renovación)
ES182354357C,PRODUCT 1,13.0,5400.0,2. Alta (Renovación)
ES182125516W,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182165733O,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182259006S,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
ES182352529K,PRODUCT 1,64.0,5400.0,1. Urgente (Chatarra)
ES182368766H,PRODUCT 1,23.0,5400.0,1. Urgente (Chatarra)
ES182409078L,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182423601T,PRODUCT 1,14.0,5400.0,2. Alta (Renovación)
ES182431882H,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182418281R,PRODUCT 1,10.0,5400.0,2. Alta (Renovación)
ES182194964Y,PRODUCT 1,12.0,5400.0,2. Alta (Renovación)
ES182444257Q,PRODUCT 1,11.0,5400.0,2. Alta (Renovación)
ES182314695F,PRODUCT 1,15.0,5400.0,2. Alta (Renovación)
